"id","ym","duration_cat","sales_amt_cat","sales_cnt_cat","unique_cust_cat","aov_cat","ind_sales_amt_rat","ind_sales_cnt_rat","ind_rank_rat","ind_cancel_rat","has_dlv_cat","m_rat","f_rat","age_20_under_rat","age_30_rat","age_40_rat","age_50_rat","age_60_over_rat","m_20_under_rat","m_30_rat","m_40_rat","m_50_rat","m_60_over_rat","f_20_under_rat","f_30_rat","f_40_rat","f_50_rat","f_60_over_rat","re_cust_rat","new_cust_rat","resid_cust_rat","office_cust_rat","move_cust_rat","is_brand","big_ind","dong"
"104031A6C2","2023-06-01",4,5,5,5,1,16.2,2.7,34.7,11.7,1,61.0389,38.8611,0,3.7,25.9,44.4,25.9,0,2.2607,15.8249,27.1284,15.8249,0,1.4393,10.0751,17.2716,10.0751,10.53,10.53,0,0,100,1,"육류판매","마장동"
"12A28908F1","2024-06-01",6,3,1,1,6,174.8,316.2,27.8,14.2,1,37.1371,62.9629,34.7,33.7,13.4,10.6,7.7,12.8737,12.5027,4.9714,3.9326,2.8567,21.8263,21.1973,8.4286,6.6674,4.8433,27.82,19.74,32.9,11.9,55.2,0,"커피-음료","행당제1동"
"132EC808F2","2023-02-01",4,2,4,4,2,196.3,99.2,11.1,20.2,1,64.4,35.6,14.8,19.3,15.7,32.5,17.7,9.5312,12.4292,10.1108,20.93,11.3988,5.2688,6.8708,5.5892,11.57,6.3012,19.8,7.11,48.8,11.6,39.5,1,"한식음식점","왕십리제2동"
"150889572A","2023-10-01",4,6,6,6,6,0,0,53.9,13.5,1,28.6286,71.4714,44.5,36.2,13.4,5.1,0.9,12.727,10.3532,3.8324,1.4586,0.2574,31.773,25.8468,9.5676,3.6414,0.6426,12.95,0,NA,NA,NA,1,"제과점","성수1가제2동"
"1521FF7269","2024-02-01",4,4,4,4,3,52.4,30.9,26.7,17.5,0,50.1501,49.9499,24.8,27.7,18.7,17.2,11.7,12.4248,13.8777,9.3687,8.6172,5.8617,12.3752,13.8223,9.3313,8.5828,5.8383,12.4,4.13,30,5,65,1,"한식음식점","왕십리도선동"
"1521FF7269","2023-09-01",5,3,4,3,3,94,98.6,26.9,20.8,0,45.7457,54.3543,23.6,27.5,19.7,18.2,11.1,10.7852,12.5675,9.0029,8.3174,5.0727,12.8148,14.9325,10.6971,9.8826,6.0273,11.14,12.73,36,10,54,1,"한식음식점","왕십리도선동"
"1521FF7269","2023-12-01",4,4,4,4,3,55,40.2,27.1,17.3,0,48.4515,51.4485,25.7,27.2,18.6,17.4,11,12.4645,13.192,9.021,8.439,5.335,13.2355,14.008,9.579,8.961,5.665,12.27,4.7,30.4,0,69.6,1,"한식음식점","왕십리도선동"
"1521FF7269","2023-08-01",5,3,4,3,3,88.5,93.2,27.5,21.2,0,50.5,49.5,21.5,29.3,20.2,19.2,9.8,10.8575,14.7965,10.201,9.696,4.949,10.6425,14.5035,9.999,9.504,4.851,11.76,12.04,27.1,6.3,66.7,1,"한식음식점","왕십리도선동"
"1521FF7269","2024-06-01",4,4,4,4,3,37.3,21.6,28.9,17.3,0,50.1,49.9,21.7,26.2,18.9,19.8,13.4,10.8717,13.1262,9.4689,9.9198,6.7134,10.8283,13.0738,9.4311,9.8802,6.6866,13.53,3.24,26.7,6.7,66.7,1,"한식음식점","왕십리도선동"
"19DC3A560D","2023-07-01",3,4,4,4,4,84.4,54.6,18.3,9.4,1,31.8681,68.0319,1.2,17.1,14.7,25.9,41,0.3828,5.4549,4.6893,8.2621,13.079,0.8172,11.6451,10.0107,17.6379,27.921,41.61,10.95,78.6,0,21.4,1,"반찬가게","금호2.3가동"
"19DC3A560D","2024-12-01",2,5,4,4,4,27,26.2,28.3,5.9,1,34.2,65.8,4.1,16.1,18.1,26.3,35.4,1.4022,5.5062,6.1902,8.9946,12.1068,2.6978,10.5938,11.9098,17.3054,23.2932,31.44,3.49,76.5,0,23.5,1,"반찬가게","금호2.3가동"
"1F01798D03","2024-02-01",3,4,2,2,5,141.9,191.3,10.3,16.4,0,32.5,67.5,25.8,34.9,19.7,13.3,6.3,8.385,11.3425,6.4025,4.3225,2.0475,17.415,23.5575,13.2975,8.9775,4.2525,23.32,4.39,23.1,29.2,47.7,0,"분식전문점","성수1가제2동"
"1F01798D03","2024-11-01",3,3,2,2,5,176.5,248.4,10.3,15.4,0,35.1648,64.7352,23.7,34.9,19.9,13.5,7.9,8.3424,12.2848,7.0048,4.752,2.7808,15.3576,22.6152,12.8952,8.748,5.1192,22.04,7.06,18.9,24.9,56.2,0,"분식전문점","성수1가제2동"
"1F01798D03","2024-12-01",3,4,2,2,5,122.7,171.2,10.8,16.7,0,35.6356,64.4644,23.3,35.6,19.5,13.6,8.1,8.2948,12.6736,6.942,4.8416,2.8836,15.0052,22.9264,12.558,8.7584,5.2164,22.14,4.63,12.4,31,56.6,0,"분식전문점","성수1가제2동"
"1F01798D03","2023-08-01",3,3,2,2,5,159.5,221.8,12.3,10.1,0,36.926,62.874,25.4,33.4,19,14.1,7.9,9.398,12.358,7.03,5.217,2.923,16.002,21.042,11.97,8.883,4.977,21.34,5.84,26,18.1,55.9,0,"분식전문점","성수1가제2동"
"1F01798D03","2023-09-01",3,3,2,2,5,165.3,223,12.3,10.8,0,36.3636,63.5364,25.6,34.6,18.5,13.9,7.3,9.3184,12.5944,6.734,5.0596,2.6572,16.2816,22.0056,11.766,8.8404,4.6428,21.54,6.88,25.7,19.8,54.5,0,"분식전문점","성수1가제2동"
"1F01798D03","2023-04-01",4,3,2,1,5,205.7,259.5,13.4,9,0,42.4,57.6,21.8,28.7,20.8,16.8,11.9,9.2432,12.1688,8.8192,7.1232,5.0456,12.5568,16.5312,11.9808,9.6768,6.8544,19.25,10.58,26,17.9,56.1,0,"분식전문점","성수1가제2동"
"1F01798D03","2023-01-01",4,3,2,2,5,168.6,217.7,13.9,8.2,0,44.7447,55.3553,19.7,24.6,21.2,20,14.6,8.8059,10.9962,9.4764,8.94,6.5262,10.8941,13.6038,11.7236,11.06,8.0738,19.97,7.54,28,28.7,43.3,0,"분식전문점","성수1가제2동"
"202266AAE4","2024-07-01",4,3,2,2,4,143.2,320.2,9,17.3,1,22.1,77.9,55.6,27,7.7,7.8,1.9,12.2876,5.967,1.7017,1.7238,0.4199,43.3124,21.033,5.9983,6.0762,1.4801,21.79,5.42,17.1,11.8,71.1,1,"한식음식점","성수2가제3동"
"203FCB7DD9","2023-04-01",4,1,1,1,4,308.9,286.1,5.6,14.5,0,44.8551,55.0449,48.8,27.9,9.6,10.5,3.1,21.9112,12.5271,4.3104,4.7145,1.3919,26.8888,15.3729,5.2896,5.7855,1.7081,32.02,6.71,44.3,9.3,46.5,0,"패스트푸드점","왕십리도선동"
"203FCB7DD9","2023-07-01",4,1,1,1,4,269.3,263,7.9,14.6,0,45.4,54.6,47.9,28.1,10.1,10.6,3.3,21.7466,12.7574,4.5854,4.8124,1.4982,26.1534,15.3426,5.5146,5.7876,1.8018,31.24,7.18,40.3,11.4,48.3,0,"패스트푸드점","왕십리도선동"
"203FCB7DD9","2024-08-01",3,1,1,1,4,193.7,186.2,13.1,12.3,0,47.7,52.3,41.6,32,11,10.8,4.6,19.8432,15.264,5.247,5.1516,2.1942,21.7568,16.736,5.753,5.6484,2.4058,31.96,7.2,47.4,11.7,40.9,0,"패스트푸드점","왕십리도선동"
"241A9CFA07","2024-11-01",3,6,6,6,6,0,0,89.3,2.1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"수산물판매","행당제2동"
"241A9CFA07","2024-08-01",3,6,6,6,6,0,0,89.6,2.3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"수산물판매","행당제2동"
"260F71BF9B","2024-12-01",5,4,3,3,5,30.4,81,58.7,27,0,36.1,63.9,29.2,36.7,19,12.1,3,10.5412,13.2487,6.859,4.3681,1.083,18.6588,23.4513,12.141,7.7319,1.917,27.41,7.32,17.9,32.1,50,1,"양식음식점","성수2가제3동"
"260F71BF9B","2024-06-01",6,4,3,3,5,41.9,96.7,83.1,18.5,0,39.8,60.2,27.4,36.8,18.2,14.9,2.7,10.9052,14.6464,7.2436,5.9302,1.0746,16.4948,22.1536,10.9564,8.9698,1.6254,26.29,22.31,22.2,37.5,40.3,1,"양식음식점","성수2가제3동"
"260F71BF9B","2024-05-01",6,4,3,3,5,41.1,88.7,85.3,19.3,0,37.4625,62.4375,26.3,36.6,17.4,16.5,3.1,9.8625,13.725,6.525,6.1875,1.1625,16.4375,22.875,10.875,10.3125,1.9375,25.13,24.62,21,33.9,45.2,1,"양식음식점","성수2가제3동"
"2A74299DD1","2024-11-01",5,3,4,3,2,315.1,157.8,3.2,16.7,0,70.6293,29.2707,54.7,26.3,6.4,9.5,3,38.6729,18.5941,4.5248,6.7165,2.121,16.0271,7.7059,1.8752,2.7835,0.879,9.93,5.8,29.4,5.9,64.7,0,"치킨전문점","사근동"
"2A74299DD1","2024-12-01",5,3,4,3,2,265.3,154.3,3.4,18,0,69.9,30.1,53.3,27.3,6.6,9.4,3.4,37.2567,19.0827,4.6134,6.5706,2.3766,16.0433,8.2173,1.9866,2.8294,1.0234,10.08,4.92,33.3,11.1,55.6,0,"치킨전문점","사근동"
"2A74299DD1","2024-06-01",5,2,3,3,3,346.4,248.8,4,17.2,0,70.07,30.03,58.7,24.3,6.3,8.6,2.2,41.09,17.01,4.41,6.02,1.54,17.61,7.29,1.89,2.58,0.66,8.09,9.83,34,6.4,59.6,0,"치킨전문점","사근동"
"2A74299DD1","2024-05-01",5,2,3,3,3,390.2,267.8,4.9,17.5,0,69.6696,30.4304,60.3,23.4,5.8,8.5,2.1,41.9688,16.2864,4.0368,5.916,1.4616,18.3312,7.1136,1.7632,2.584,0.6384,7.31,11.79,32,5,63,0,"치킨전문점","사근동"
"2FB0335820","2024-02-01",4,5,5,5,2,2.7,3.1,48.5,13.1,1,76.7767,23.3233,0,6.3,50,37.5,6.3,0,4.8321,38.35,28.7625,4.8321,0,1.4679,11.65,8.7375,1.4679,20,0,0,0,100,1,"호프-간이주점","금호2.3가동"
"32425BE27F","2023-03-01",5,2,3,2,3,128.8,201.6,11.7,18.7,0,38.961,60.939,42.7,38,9.5,7.3,2.4,16.653,14.82,3.705,2.847,0.936,26.047,23.18,5.795,4.453,1.464,19.45,6.25,19.7,21.3,59.1,1,"양식음식점","성수1가제1동"
"32425BE27F","2023-04-01",4,2,2,2,3,174.7,294.3,11.8,19.3,0,38.8,61.2,42.3,37.8,9.7,7.8,2.4,16.4124,14.6664,3.7636,3.0264,0.9312,25.8876,23.1336,5.9364,4.7736,1.4688,19.96,9.03,17.3,17.3,65.5,1,"양식음식점","성수1가제1동"
"32F21633BE","2023-07-01",4,3,2,2,4,114.2,326.5,15,21.7,0,63.6,36.4,38.7,25.3,15.4,15.3,5.3,24.6132,16.0908,9.7944,9.7308,3.3708,14.0868,9.2092,5.6056,5.5692,1.9292,37.85,7.14,46.9,9.4,43.8,1,"한식음식점","왕십리제2동"
"32F21633BE","2023-04-01",4,3,2,2,4,139.1,381.2,13.5,21.9,0,63.2632,36.8368,40.5,24.3,15.5,14.5,5.3,25.596,15.3576,9.796,9.164,3.3496,14.904,8.9424,5.704,5.336,1.9504,39.8,7.88,42.1,9.2,48.7,1,"한식음식점","왕십리제2동"
"32F21633BE","2023-05-01",4,3,2,2,4,91.1,286.7,14.4,22.7,0,62.8371,37.0629,39.8,24.6,15.5,14.5,5.5,25.0342,15.4734,9.7495,9.1205,3.4595,14.7658,9.1266,5.7505,5.3795,2.0405,38.89,6.14,44.5,10.1,45.4,1,"한식음식점","왕십리제2동"
"32F21633BE","2023-06-01",4,3,2,2,4,127.4,307,14.7,22.3,0,62.9,37.1,38.4,25.4,15.4,15.2,5.6,24.1536,15.9766,9.6866,9.5608,3.5224,14.2464,9.4234,5.7134,5.6392,2.0776,38.14,5.75,48.8,11,40.2,1,"한식음식점","왕십리제2동"
"365914E11C","2023-02-01",4,4,3,3,5,53.3,75.2,32.9,11.2,0,70.8,29.2,21.8,41.6,18.4,15.1,3.1,15.4344,29.4528,13.0272,10.6908,2.1948,6.3656,12.1472,5.3728,4.4092,0.9052,58.65,5.01,18.8,47.8,33.3,1,"커피-음료","마장동"
"3F53A733C8","2024-02-01",5,4,4,4,4,23.2,23.8,57.6,14.2,0,33.8338,66.2662,39.3,33.8,12.7,10.2,4.1,13.2834,11.4244,4.2926,3.4476,1.3858,26.0166,22.3756,8.4074,6.7524,2.7142,16.08,7.42,20.5,10.3,69.2,1,"제과점","성수1가제2동"
"3F53A733C8","2023-10-01",5,5,4,4,4,9.6,10.2,59.2,13.5,0,34.1,65.9,31,37.5,14.9,10.8,5.8,10.571,12.7875,5.0809,3.6828,1.9778,20.429,24.7125,9.8191,7.1172,3.8222,16.78,4.6,13.6,31.8,54.5,1,"제과점","성수1가제2동"
"40AA7DDA7E","2023-04-01",4,3,3,3,4,100,227.4,18.5,21.9,0,61.2,38.8,15.6,22.3,24.1,25.4,12.6,9.5472,13.6476,14.7492,15.5448,7.7112,6.0528,8.6524,9.3508,9.8552,4.8888,36.76,7.84,47.6,23.8,28.6,1,"한식음식점","행당제1동"
"40AA7DDA7E","2023-01-01",4,3,3,3,3,86,155.5,18.5,19.8,0,59.059,41.041,16.9,23.6,24.2,22.8,12.6,9.971,13.924,14.278,13.452,7.434,6.929,9.676,9.922,9.348,5.166,33.5,4.93,50,16.7,33.3,1,"한식음식점","행당제1동"
"40AA7DDA7E","2023-09-01",4,6,6,6,6,0,0,21.5,20.8,0,62.5,37.5,13,17.9,26.3,28.3,14.5,8.125,11.1875,16.4375,17.6875,9.0625,4.875,6.7125,9.8625,10.6125,5.4375,37.91,0,NA,NA,NA,1,"한식음식점","행당제1동"
"40AA7DDA7E","2024-12-01",4,4,4,4,4,53.8,102.5,20.1,16.4,0,61.9619,38.1381,9.1,20.1,24.7,31.1,15.1,5.6329,12.4419,15.2893,19.2509,9.3469,3.4671,7.6581,9.4107,11.8491,5.7531,38.7,3.39,41.4,17.2,41.4,1,"한식음식점","행당제1동"
"422418BBDD","2024-02-01",5,4,2,2,5,49.4,112.3,34.8,20.7,0,30.7692,69.1308,33.1,15.7,34.2,14,2.9,10.1948,4.8356,10.5336,4.312,0.8932,22.9052,10.8644,23.6664,9.688,2.0068,38.13,3.49,75,2.8,22.2,1,"제과점","행당제2동"
"422418BBDD","2023-11-01",6,4,2,1,5,62.3,150.8,36.1,20,0,30.7,69.3,33,15.9,34.6,13.8,2.7,10.131,4.8813,10.6222,4.2366,0.8289,22.869,11.0187,23.9778,9.5634,1.8711,36.83,5.79,74,4.7,21.3,1,"제과점","행당제2동"
"422418BBDD","2024-08-01",5,5,3,3,5,19.8,57.8,48.2,19.5,0,31.9,68.1,31.2,15.7,35,14.6,3.5,9.9528,5.0083,11.165,4.6574,1.1165,21.2472,10.6917,23.835,9.9426,2.3835,33.98,2,73.8,3.1,23.1,1,"제과점","행당제2동"
"422418BBDD","2024-05-01",5,4,3,3,5,28.7,80.3,32.9,19.3,0,31.5684,68.3316,32,15.7,34.9,14.4,2.9,10.112,4.9612,11.0284,4.5504,0.9164,21.888,10.7388,23.8716,9.8496,1.9836,38.1,2.14,74.1,1.8,24.1,1,"제과점","행당제2동"
"4349A8302A","2024-10-01",2,2,1,1,5,132.4,146,22,12.2,0,56.2562,43.8438,23.5,27.3,18.5,17.9,12.9,13.207,15.3426,10.397,10.0598,7.2498,10.293,11.9574,8.103,7.8402,5.6502,37.01,7.66,65,5,30,0,"패스트푸드점","금호2.3가동"
"4349A8302A","2023-12-01",3,3,1,1,5,109.1,125,22.2,12.5,0,56.8431,43.0569,26.3,25.2,19.4,17.3,11.7,14.9647,14.3388,11.0386,9.8437,6.6573,11.3353,10.8612,8.3614,7.4563,5.0427,37.32,4.58,69.2,4.1,26.8,0,"패스트푸드점","금호2.3가동"
"4349A8302A","2024-01-01",3,3,1,1,5,101.9,115.4,22.5,12.4,0,57.4,42.6,26.1,25.4,19.6,17.4,11.5,14.9814,14.5796,11.2504,9.9876,6.601,11.1186,10.8204,8.3496,7.4124,4.899,37.17,3.95,70.3,3.7,26,0,"패스트푸드점","금호2.3가동"
"4349A8302A","2024-12-01",2,2,1,1,4,95.7,101.1,19,26.7,0,55.5444,44.3556,23.3,27.7,18.8,17.6,12.5,12.9548,15.4012,10.4528,9.7856,6.95,10.3452,12.2988,8.3472,7.8144,5.55,36.13,5.22,68.8,5,26.2,0,"패스트푸드점","금호2.3가동"
"4349A8302A","2023-04-01",3,2,1,1,5,92.7,104.8,22.9,6.1,0,55.2,44.8,28.8,23.1,19,16.7,12.4,15.8976,12.7512,10.488,9.2184,6.8448,12.9024,10.3488,8.512,7.4816,5.5552,36.65,7.18,66.8,5,28.2,0,"패스트푸드점","금호2.3가동"
"4349A8302A","2023-02-01",3,2,1,1,5,92.1,98.5,23.6,6.5,0,54.7547,45.3453,29.7,22.4,19.3,16.5,12.2,16.2459,12.2528,10.5571,9.0255,6.6734,13.4541,10.1472,8.7429,7.4745,5.5266,36.22,6.26,64.4,5.5,30.1,0,"패스트푸드점","금호2.3가동"
"48731DE9B9","2023-02-01",2,4,2,2,5,117.5,212.7,13.6,9.3,1,66.2,33.8,71.1,11.3,6.2,8.6,2.8,47.0682,7.4806,4.1044,5.6932,1.8536,24.0318,3.8194,2.0956,2.9068,0.9464,36,4.85,51.7,5.2,43.1,1,"치킨전문점","사근동"
"48731DE9B9","2024-04-01",2,3,2,2,5,168.7,827.2,11.7,17.6,1,67.8,32.2,67.7,11.9,8.1,9,3.3,45.9006,8.0682,5.4918,6.102,2.2374,21.7994,3.8318,2.6082,2.898,1.0626,34.29,6.75,58.6,1.7,39.7,1,"치킨전문점","사근동"
"48731DE9B9","2023-07-01",2,4,2,2,5,130,233.1,14.2,9.5,1,65.3346,34.5654,70.4,11.4,6.8,8.4,2.9,46.0416,7.4556,4.4472,5.4936,1.8966,24.3584,3.9444,2.3528,2.9064,1.0034,36.23,5.25,55,5,40,1,"치킨전문점","사근동"
"499F3ECFD7","2024-10-01",4,4,5,4,3,24.5,24.4,47.5,18.9,0,70.3703,29.7297,16.2,26.2,17.7,20.8,19.2,11.3886,18.4186,12.4431,14.6224,13.4976,4.8114,7.7814,5.2569,6.1776,5.7024,17.24,9.48,38.5,23.1,38.5,1,"한식음식점","금호2.3가동"
"499F3ECFD7","2024-11-01",4,4,4,4,3,26.8,29.2,46.3,18.7,0,72.3276,27.5724,17.1,25.7,15.7,21.4,20,12.3804,18.6068,11.3668,15.4936,14.48,4.7196,7.0932,4.3332,5.9064,5.52,17.89,8.94,62.5,0,37.5,1,"한식음식점","금호2.3가동"
"499F3ECFD7","2023-10-01",5,4,4,4,3,30.3,26.9,45.9,20.4,0,79.92,19.98,10.1,30.2,20.9,27.1,11.6,8.08,24.16,16.72,21.68,9.28,2.02,6.04,4.18,5.42,2.32,11.86,11.86,75,0,25,1,"한식음식점","금호2.3가동"
"499F3ECFD7","2024-08-01",4,4,4,4,3,28.1,26,46.8,18.9,0,70.8,29.2,16.8,28.2,13,23.7,18.3,11.8944,19.9656,9.204,16.7796,12.9564,4.9056,8.2344,3.796,6.9204,5.3436,16.52,10.43,60,6.7,33.3,1,"한식음식점","금호2.3가동"
"499F3ECFD7","2024-12-01",4,5,5,5,3,3.8,4.4,55.3,16.2,0,72.2,27.8,15.7,24.6,15.7,22.4,21.6,11.3354,17.7612,11.3354,16.1728,15.5952,4.3646,6.8388,4.3646,6.2272,6.0048,16.67,2.5,66.7,0,33.3,1,"한식음식점","금호2.3가동"
"499F3ECFD7","2023-06-01",5,4,4,4,2,51.7,32.6,46,22.3,0,80.8,19.2,13.1,25.4,29.5,18.9,13.1,10.5848,20.5232,23.836,15.2712,10.5848,2.5152,4.8768,5.664,3.6288,2.5152,15.45,13.64,60,13.3,26.7,1,"한식음식점","금호2.3가동"
"4E4FF6A584","2023-09-01",4,2,1,1,4,243.5,445.5,5.6,17,0,65.3,34.7,59,11.7,8.9,15.1,5.3,38.527,7.6401,5.8117,9.8603,3.4609,20.473,4.0599,3.0883,5.2397,1.8391,38.22,5.53,37.1,9.8,53.1,1,"한식음식점","사근동"
"4E4FF6A584","2024-12-01",3,2,1,1,4,194.8,507.3,9.8,16.2,0,68.3,31.7,51.2,11.6,10.9,18.6,7.7,34.9696,7.9228,7.4447,12.7038,5.2591,16.2304,3.6772,3.4553,5.8962,2.4409,38.61,6.75,39.3,14.8,45.9,1,"한식음식점","사근동"
"4E4FF6A584","2024-07-01",3,3,2,2,4,148.4,279.3,7.5,17.3,0,69.5695,30.5305,53.1,11.6,10.3,18.2,6.9,36.9045,8.062,7.1585,12.649,4.7955,16.1955,3.538,3.1415,5.551,2.1045,38.88,3.98,45.9,10.6,43.5,1,"한식음식점","사근동"
"4E4FF6A584","2024-03-01",3,2,1,1,4,221,442.9,7.3,17.3,0,66.5665,33.5335,54.7,12.5,9.7,17.3,5.9,36.3755,8.3125,6.4505,11.5045,3.9235,18.3245,4.1875,3.2495,5.7955,1.9765,39.28,8.29,34.8,8.7,56.5,1,"한식음식점","사근동"
"4E8BDFA3D8","2024-07-01",5,3,2,2,5,114.9,253.8,10,16,0,65.8341,34.0659,26.8,37.8,18.6,10.8,5.9,17.6612,24.9102,12.2574,7.1172,3.8881,9.1388,12.8898,6.3426,3.6828,2.0119,40.68,3.97,40.9,7.9,51.2,0,"한식음식점","왕십리도선동"
"4E8BDFA3D8","2024-08-01",5,3,2,2,5,112.4,290.5,8.6,16.4,0,65.8,34.2,26.6,37.9,18.6,11,5.9,17.5028,24.9382,12.2388,7.238,3.8822,9.0972,12.9618,6.3612,3.762,2.0178,40.68,4.42,49.3,8,42.8,0,"한식음식점","왕십리도선동"
"4E8BDFA3D8","2024-06-01",5,3,2,2,5,118.7,259.8,11.1,15.5,0,66,34,27.1,37.7,18.4,10.9,5.9,17.886,24.882,12.144,7.194,3.894,9.214,12.818,6.256,3.706,2.006,40.63,4.51,43.8,9.6,46.6,0,"한식음식점","왕십리도선동"
"4E8BDFA3D8","2024-05-01",5,3,2,2,5,123.6,287.1,12.5,15.3,0,65.7342,34.1658,27.4,37.6,18.4,10.7,5.8,18.0292,24.7408,12.1072,7.0406,3.8164,9.3708,12.8592,6.2928,3.6594,1.9836,40.58,6.23,44.5,7.5,48,0,"한식음식점","왕십리도선동"
"4E8BDFA3D8","2024-04-01",5,3,2,2,5,159.8,301.2,14.6,15.2,0,65.7,34.3,27.6,37.9,18.3,10.5,5.7,18.1332,24.9003,12.0231,6.8985,3.7449,9.4668,12.9997,6.2769,3.6015,1.9551,40.34,7.82,40,11.1,48.9,0,"한식음식점","왕십리도선동"
"4E8BDFA3D8","2024-02-01",6,3,2,2,5,152.9,332.9,21.3,14.9,0,65.6,34.4,28.5,37.2,18.4,10.5,5.4,18.696,24.4032,12.0704,6.888,3.5424,9.804,12.7968,6.3296,3.612,1.8576,39.47,6.4,37.5,12.5,50,0,"한식음식점","왕십리도선동"
"4E8BDFA3D8","2023-12-01",6,2,1,1,4,259.4,552,33.3,14.2,0,62.6373,37.2627,29.7,37.1,17.6,10.7,4.8,18.6219,23.2617,11.0352,6.7089,3.0096,11.0781,13.8383,6.5648,3.9911,1.7904,38.71,15.17,42.5,9.6,47.9,0,"한식음식점","왕십리도선동"
"4F98FE8D27","2024-01-01",2,6,5,5,4,1.4,3.8,70.7,19.5,1,53.3,46.7,19,4.8,14.3,42.9,19,10.127,2.5584,7.6219,22.8657,10.127,8.873,2.2416,6.6781,20.0343,8.873,20.83,8.33,0,0,100,1,"한식음식점","마장동"
"4F98FE8D27","2024-05-01",2,6,5,5,5,0.3,1.7,80.1,19,1,89.4894,10.6106,18.8,12.5,18.8,25,25,16.8072,11.175,16.8072,22.35,22.35,1.9928,1.325,1.9928,2.65,2.65,23.53,5.88,0,0,100,1,"한식음식점","마장동"
